,Unnamed:_0,Invoice_ID,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,Tax_5%,Total,Date,Time,Payment,cogs,gross_margin_percentage,gross_income,Rating,Latitude,Longitude
0,0.0,750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,2021-01-05,13:08,Ewallet,522.83,4.761904762,26.1415,9.1,16.8409,96.1735
1,1.0,226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2021-03-08,10:29,Cash,76.4,4.761904762,3.82,9.6,19.7633,96.0785
2,2.0,631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,2021-03-03,13:23,Credit card,324.31,4.761904762,16.2155,7.4,16.8409,96.1735
3,3.0,123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.048,2021-01-27,20:33,Ewallet,465.76,4.761904762,23.288,8.4,16.8409,96.1735
4,4.0,373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2021-02-08,10:37,Ewallet,604.17,4.761904762,30.2085,5.3,16.8409,96.1735
5,5.0,699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,2021-03-25,18:30,Ewallet,597.73,4.761904762,29.8865,4.1,19.7633,96.0785
6,6.0,355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2021-02-25,14:36,Ewallet,413.04,4.761904762,20.652,5.8,16.8409,96.1735
7,7.0,315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2021-02-24,11:38,Ewallet,735.6,4.761904762,36.78,8.0,19.7633,96.0785
8,8.0,665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.146,2021-01-10,17:15,Credit card,72.52,4.761904762,3.626,7.2,16.8409,96.1735
9,9.0,692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2021-02-20,13:27,Credit card,164.52,4.761904762,8.226,5.9,21.9588,96.0891
10,10.0,351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2021-02-06,18:07,Ewallet,57.92,4.761904762,2.896,4.5,21.9588,96.0891
11,11.0,529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.142,2021-03-09,17:03,Cash,102.04,4.761904762,5.102,6.8,21.9588,96.0891
12,12.0,365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2021-02-12,10:25,Ewallet,234.75,4.761904762,11.7375,7.1,16.8409,96.1735
13,13.0,252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2021-02-07,16:48,Ewallet,431.9,4.761904762,21.595,8.2,16.8409,96.1735
14,14.0,829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,2021-03-29,19:21,Cash,713.8,4.761904762,35.69,5.7,16.8409,96.1735
15,15.0,299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.116,590.436,2021-01-15,16:19,Cash,562.32,4.761904762,28.116,4.5,21.9588,96.0891
16,16.0,656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,2021-03-11,11:03,Credit card,482.51,4.761904762,24.1255,4.6,16.8409,96.1735
17,17.0,765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.783,457.443,2021-01-01,10:39,Credit card,435.66,4.761904762,21.783,6.9,16.8409,96.1735
18,18.0,329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,2021-01-21,18:00,Credit card,164.01,4.761904762,8.2005,8.6,16.8409,96.1735
19,19.0,319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,2021-03-11,15:30,Ewallet,80.6,4.761904762,4.03,4.4,21.9588,96.0891
20,20.0,300-71-4605,C,Naypyitaw,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2021-02-25,11:24,Ewallet,430.2,4.761904762,21.51,4.8,19.7633,96.0785
21,21.0,371-85-5789,B,Mandalay,Normal,Male,Health and beauty,87.98,3,13.197,277.137,2021-03-05,10:40,Ewallet,263.94,4.761904762,13.197,5.1,21.9588,96.0891
22,22.0,273-16-6619,B,Mandalay,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,2021-03-15,12:20,Credit card,66.4,4.761904762,3.32,4.4,21.9588,96.0891
23,23.0,636-48-8204,A,Yangon,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2021-02-17,11:15,Ewallet,172.8,4.761904762,8.64,9.9,16.8409,96.1735
24,24.0,549-59-1358,A,Yangon,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,2021-03-02,17:36,Ewallet,265.89,4.761904762,13.2945,6.0,16.8409,96.1735
25,25.0,227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,2021-03-22,19:20,Credit card,420.72,4.761904762,21.036,8.5,16.8409,96.1735
26,26.0,649-29-6775,B,Mandalay,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2021-02-08,15:31,Cash,33.52,4.761904762,1.676,6.7,21.9588,96.0891
27,27.0,189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,2021-03-10,12:17,Credit card,175.34,4.761904762,8.767,7.7,16.8409,96.1735
28,28.0,145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,2021-01-25,19:48,Cash,441.8,4.761904762,22.09,9.6,21.9588,96.0891
29,29.0,848-62-7243,A,Yangon,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,2021-03-15,15:36,Cash,224.01,4.761904762,11.2005,7.4,16.8409,96.1735
30,30.0,871-79-8483,B,Mandalay,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2021-02-25,19:39,Credit card,470.65,4.761904762,23.5325,4.8,21.9588,96.0891
31,31.0,149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,2021-01-28,12:43,Cash,702.63,4.761904762,35.1315,4.5,21.9588,96.0891
32,32.0,640-49-2076,B,Mandalay,Normal,Male,Sports and travel,83.78,8,33.512,703.752,2021-01-10,14:49,Cash,670.24,4.761904762,33.512,5.1,21.9588,96.0891
33,33.0,595-11-5460,A,Yangon,Normal,Male,Health and beauty,96.58,2,9.658,202.818,2021-03-15,10:12,Credit card,193.16,4.761904762,9.658,5.1,16.8409,96.1735
34,34.0,183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.564,2021-02-06,10:42,Ewallet,397.68,4.761904762,19.884,7.5,19.7633,96.0785
